shipping_id,order_id,receiver_address_latitude,receiver_address_longitude,address_line,receiver_name,city,neighborhood,weight,volume,status
43098212001,2000001234567891,-34.5875,-58.4253,Av. Santa Fe 3200,Juan Pérez,Buenos Aires,Palermo,0.25,0.01,ready_to_ship
43098212002,2000001234567892,-34.5952,-58.4118,Thames 1800,María Gómez,Buenos Aires,Palermo,0.4,0.01,ready_to_ship
43098212003,2000001234567893,-34.6037,-58.3816,Av. Corrientes 1234,Carlos Ruiz,Buenos Aires,San Nicolás,1.2,0.01,ready_to_ship
43098212004,2000001234567894,-34.575,-58.435,José Hernández 2100,Lucía Fernández,Buenos Aires,Belgrano,0.9,0.01,ready_to_ship
43098212005,2000001234567895,-34.5621,-58.4568,Av. Cabildo 2400,Diego Martínez,Buenos Aires,Belgrano,0.6,0.01,ready_to_ship
43098212006,2000001234567896,-34.5881,-58.3994,Av. Las Heras 2800,Sofía Berg,Buenos Aires,Recoleta,0.35,0.01,ready_to_ship
43098212007,2000001234567897,-34.5912,-58.4301,Av. Córdoba 4500,Martín Soto,Buenos Aires,Palermo,0.45,0.01,ready_to_ship
43098212008,2000001234567898,-34.5778,-58.4462,Av. Dorrego 1900,Paula Núñez,Buenos Aires,Palermo,0.12,0.01,ready_to_ship
43098212009,2000001234567899,-34.5712,-58.4495,Av. Federico Lacroze 3200,Andrés Vega,Buenos Aires,Colegiales,0.28,0.01,ready_to_ship
43098212010,20000012345678910,-34.5984,-58.4378,Av. Corrientes 5200,Valentina Quiroga,Buenos Aires,Villa Crespo,0.22,0.01,ready_to_ship
43098212011,20000012345678911,-34.5489,-58.4622,Av. Cabildo 3800,Elena Rivas,Buenos Aires,Núñez,0.35,0.01,ready_to_ship
43098212012,20000012345678912,-34.5862,-58.4088,Av. Santa Fe 4500,Hugo Paredes,Buenos Aires,Palermo,0.16,0.01,ready_to_ship
43098212013,20000012345678102,,,Honduras 5500,Ana López,Buenos Aires,Palermo,0.8,0.005,ready_to_ship
43098212999,20000012345999,95,200,Invalid coordinates row,Bad Row,Buenos Aires,Palermo,0.5,0.01,ready_to_ship
