Número de orden;Fecha;Estado;Cliente;Email;Teléfono;Dirección;Número;Piso;Localidad;Ciudad;Provincia;Código postal;País;Producto;SKU;Cantidad;Peso;Medio de envío;Latitud;Longitud
1001;2026-08-01;paid;Juan Pérez;juan@example.com;1141110001;Av. Rivadavia;4800;;Caballito;Buenos Aires;BA;1424;AR;Auriculares;SKU-AUR;1;0.25;Envío a domicilio;-34.6186;-58.4372
1002;2026-08-02;paid;María Gómez;maria@example.com;1141110002;Av. Acoyte;500;;Caballito;Buenos Aires;BA;1405;AR;Remera S;SKU-REM-S;1;0.2;Envío a domicilio;-34.6181;-58.436
1002;2026-08-02;paid;María Gómez;maria@example.com;1141110002;Av. Acoyte;500;;Caballito;Buenos Aires;BA;1405;AR;Remera M;SKU-REM-M;1;0.2;Envío a domicilio;-34.6181;-58.436
1003;2026-08-03;paid;Carlos Ruiz;carlos@example.com;1141110003;Av. La Plata;800;;Caballito;Buenos Aires;BA;1235;AR;Taza;SKU-TAZA;2;0.4;Envío a domicilio;-34.6225;-58.4288
1004;2026-08-04;paid;Lucía Fernández;lucia@example.com;1141110004;Av. Rivadavia;6800;;Flores;Buenos Aires;BA;1406;AR;Zapatillas;SKU-ZAP;1;0.9;Envío a domicilio;-34.6284;-58.4635
1005;2026-08-05;paid;Diego Martínez;diego@example.com;1141110005;Av. Nazca;400;;Flores;Buenos Aires;BA;1405;AR;Mochila;SKU-MOCH;1;0.6;Envío a domicilio;-34.6271;-58.4752
1006;2026-08-06;paid;Sofía Berg;sofia@example.com;1141110006;Av. Díaz Vélez;4200;;Almagro;Buenos Aires;BA;1200;AR;Libro;SKU-LIB;1;0.35;Envío a domicilio;-34.6078;-58.4241
1007;2026-08-07;paid;Martín Soto;martin@example.com;1141110007;Av. Boedo;800;;Boedo;Buenos Aires;BA;1235;AR;Buzo;SKU-BUZ;1;0.45;Envío a domicilio;-34.6288;-58.4165
1008;2026-08-08;paid;Paula Núñez;paula@example.com;1141110008;Av. San Juan;3500;;Boedo;Buenos Aires;BA;1233;AR;Gorra;SKU-GOR;1;0.12;Envío a domicilio;-34.6255;-58.4122
1009;2026-08-09;paid;Andrés Vega;andres@example.com;1141110009;Av. Asamblea;1200;;Parque Chacabuco;Buenos Aires;BA;1424;AR;Agenda;SKU-AGE;1;0.28;Envío a domicilio;-34.6368;-58.4412
1010;2026-08-10;paid;Valentina Quiroga;vale@example.com;1141110010;Av. Directorio;1400;;Parque Chacabuco;Buenos Aires;BA;1406;AR;Cuaderno;SKU-CUA;1;0.22;Envío a domicilio;-34.6335;-58.4328
1011;2026-08-11;paid;Elena Rivas;elena@example.com;1141110011;Av. Rivadavia;5400;;Caballito;Buenos Aires;BA;1406;AR;Mate;SKU-MATE;1;0.35;Envío a domicilio;-34.6208;-58.4488
1012;2026-08-12;paid;Hugo Paredes;hugo@example.com;1141110012;Av. Rivadavia;9800;;Villa Luro;Buenos Aires;BA;1407;AR;Bufanda;SKU-BUF;1;0.16;Envío a domicilio;-34.6392;-58.5021
1013;2026-08-28;paid;Ana López;ana@example.com;1141110099;Av. Directorio;2100;;Caballito;Buenos Aires;BA;1406;AR;Libro;SKU-LIB;1;0.8;Envío a domicilio;;
1999;2026-08-29;paid;Bad Row;bad@example.com;1141110098;Invalid;1;;Palermo;Buenos Aires;BA;1414;AR;Broken;SKU-BAD;1;0.5;Envío a domicilio;95;200
